SALES,ORDERDATE,STATUS,YEAR_ID,PRODUCTLINE,CUSTOMERNAME,COUNTRY,TERRITORY,DEALSIZE
2871,08/03/2008,Shipped,2008,Motorcycles,Land of Toys Inc.,USA,NA,Small
2765.9,15/03/2008,Shipped,2008,Motorcycles,Reims Collectables,France,EMEA,Small
3884.34,22/03/2008,Shipped,2008,Motorcycles,Lyon Souveniers,France,EMEA,Medium
3746.7,13/01/2008,Shipped,2008,Motorcycles,Toys4GrownUps.com,USA,NA,Medium
5205.27,07/04/2008,Shipped,2008,Motorcycles,Corporate Gift Ideas Co.,USA,NA,Medium
3479.76,03/04/2008,Shipped,2008,Motorcycles,Technics Stores Inc.,USA,NA,Medium
2497.77,30/03/2008,Shipped,2008,Motorcycles,Daedalus Designs Imports,France,EMEA,Small
5512.32,30/03/2008,Shipped,2008,Motorcycles,Herkku Gifts,Norway,EMEA,Medium
2168.54,31/01/2008,Shipped,2008,Motorcycles,Mini Wheels Co.,USA,NA,Small
4708.44,15/04/2008,Shipped,2008,Motorcycles,Auto Canal Petit,France,EMEA,Medium
3965.66,17/04/2008,Shipped,2008,Motorcycles,"Australian Collectors, Co.",Australia,APAC,Medium
2333.12,09/04/2008,Shipped,2008,Motorcycles,Vitachrome Inc.,USA,NA,Small
3188.64,10/05/2008,Shipped,2008,Motorcycles,Tekni Collectables Inc.,USA,NA,Medium
3676.76,02/05/2008,Shipped,2008,Motorcycles,Gift Depot Inc.,USA,NA,Medium
4177.35,17/04/2008,Shipped,2008,Motorcycles,La Rochelle Gifts,France,EMEA,Medium
4099.68,28/04/2008,Shipped,2008,Motorcycles,Marta's Replicas Co.,USA,NA,Medium
2597.39,01/05/2008,Shipped,2008,Motorcycles,"Toys of Finland, Co.",Finland,EMEA,Small
4394.38,14/05/2008,Shipped,2008,Motorcycles,Baane Mini Imports,Norway,EMEA,Medium
4358.04,17/05/2008,Shipped,2008,Motorcycles,Diecast Classics Inc.,USA,NA,Medium
4396.14,22/05/2008,Shipped,2008,Motorcycles,Land of Toys Inc.,USA,NA,Medium
7737.93,20/05/2008,Shipped,2008,Motorcycles,Salzburg Collectables,Austria,EMEA,Large
1451,19/01/2008,Shipped,2008,Motorcycles,Souveniers And Things Co.,Australia,APAC,Small
733.11,14/05/2008,Shipped,2008,Motorcycles,La Rochelle Gifts,France,EMEA,Small
3207.12,29/05/2008,Shipped,2008,Motorcycles,FunGiftIdeas.com,USA,NA,Medium
2434.56,02/06/2008,Shipped,2008,Motorcycles,"UK Collectables, Ltd.",UK,EMEA,Small
7516.08,03/06/2008,Disputed,2008,Motorcycles,Euro Shopping Channel,Spain,EMEA,Large
5404.62,05/06/2008,Shipped,2008,Classic Cars,Baane Mini Imports,Norway,EMEA,Medium
7209.11,11/06/2008,Shipped,2008,Classic Cars,"Volvo Model Replicas, Co",Sweden,EMEA,Large
7329.06,26/05/2008,Shipped,2008,Classic Cars,"Corrida Auto Replicas, Ltd",Spain,EMEA,Large
7374.1,07/06/2008,Shipped,2008,Classic Cars,Technics Stores Inc.,USA,NA,Large
10993.5,10/06/2008,Shipped,2008,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Japan,Large
4860.24,15/06/2008,Shipped,2008,Classic Cars,Classic Legends Inc.,USA,NA,Medium
8014.82,10/06/2008,Shipped,2008,Classic Cars,"Australian Gift Network, Co",Australia,APAC,Large
5372.57,19/06/2008,Shipped,2008,Classic Cars,"Classic Gift Ideas, Inc",USA,NA,Medium
7290.36,29/05/2008,Shipped,2008,Classic Cars,"Saveley & Henriot, Co.",France,EMEA,Large
9064.89,09/06/2008,Shipped,2008,Classic Cars,Canadian Gift Exchange Network,Canada,NA,Large
6075.3,22/06/2008,Shipped,2008,Classic Cars,West Coast Collectables Co.,USA,NA,Medium
6463.23,31/05/2008,Shipped,2008,Classic Cars,Cambridge Collectables Co.,USA,NA,Medium
6120.34,25/06/2008,Shipped,2008,Classic Cars,Super Scale Inc.,USA,NA,Medium
7680.64,08/08/2008,Shipped,2008,Classic Cars,"Tokyo Collectables, Ltd",Japan,Japan,Large
4905.39,25/07/2008,Shipped,2008,Classic Cars,Souveniers And Things Co.,Australia,APAC,Medium
8014.82,23/07/2008,Shipped,2008,Classic Cars,Amica Models & Co.,Italy,EMEA,Large
7136.19,02/07/2008,Shipped,2008,Classic Cars,Scandinavian Gift Ideas,Sweden,EMEA,Large
10172.7,10/07/2008,Shipped,2008,Classic Cars,Auto Assoc. & Cie.,France,EMEA,Large
11623.7,19/07/2008,Shipped,2008,Classic Cars,Mini Gifts Distributors Ltd.,USA,NA,Large
6000.4,23/07/2008,Shipped,2008,Classic Cars,Online Diecast Creations Co.,USA,NA,Medium
3003,04/08/2008,Shipped,2008,Classic Cars,Mini Wheels Co.,USA,NA,Medium
3944.7,26/07/2008,Shipped,2008,Classic Cars,"Australian Collectors, Co.",Australia,APAC,Medium
5691.84,06/07/2008,Shipped,2008,Classic Cars,Mini Gifts Distributors Ltd.,USA,NA,Medium
4514.92,15/07/2008,Shipped,2008,Classic Cars,Collectables For Less Inc.,USA,NA,Medium
8254.8,08/08/2008,Shipped,2008,Classic Cars,Corporate Gift Ideas Co.,USA,NA,Large
2416.56,08/08/2008,Shipped,2008,Classic Cars,"Anna's Decorations, Ltd",Australia,APAC,Small
4140.23,03/08/2008,Shipped,2008,Classic Cars,Quebec Home Shopping Network,Canada,NA,Medium
12001,20/03/2008,In Process,2008,Classic Cars,Euro Shopping Channel,Spain,EMEA,Large
3896.49,04/08/2008,Shipped,2008,Motorcycles,Land of Toys Inc.,USA,NA,Medium
2793.86,16/08/2008,Shipped,2008,Motorcycles,"Australian Collectors, Co.",Australia,APAC,Small
3307.77,28/06/2008,Shipped,2008,Motorcycles,Lyon Souveniers,France,EMEA,Medium
5192.95,26/08/2008,Shipped,2008,Motorcycles,Toys4GrownUps.com,USA,NA,Medium
5016.83,15/08/2008,Shipped,2008,Motorcycles,Corporate Gift Ideas Co.,USA,NA,Medium
3660.93,13/07/2008,Shipped,2008,Motorcycles,Technics Stores Inc.,USA,NA,Medium
4695.6,18/08/2008,Shipped,2008,Motorcycles,Daedalus Designs Imports,France,EMEA,Medium
3660.92,30/08/2008,Shipped,2008,Motorcycles,Herkku Gifts,Norway,EMEA,Medium
3025.92,05/07/2008,Shipped,2008,Motorcycles,Mini Wheels Co.,USA,NA,Medium
3009.09,01/09/2008,Shipped,2008,Motorcycles,Osaka Souveniers Co.,Japan,Japan,Medium
5422.39,16/08/2008,Shipped,2008,Motorcycles,"Australian Collectors, Co.",Australia,APAC,Medium
2852.08,06/09/2008,Shipped,2008,Motorcycles,Motor Mint Distributors Inc.,USA,NA,Small
5756.52,06/09/2008,Shipped,2008,Motorcycles,Tekni Collectables Inc.,USA,NA,Medium
4472,01/09/2008,Shipped,2008,Motorcycles,Gift Depot Inc.,USA,NA,Medium
2904.44,08/09/2008,Shipped,2008,Motorcycles,La Rochelle Gifts,France,EMEA,Small
6484.59,18/08/2008,Shipped,2008,Motorcycles,Marta's Replicas Co.,USA,NA,Medium
3757.26,04/09/2008,Shipped,2008,Motorcycles,Atelier graphique,France,EMEA,Medium
4043.96,19/09/2008,Shipped,2008,Motorcycles,Mini Classics,USA,NA,Medium
5566.5,19/09/2008,Shipped,2008,Motorcycles,Diecast Classics Inc.,USA,NA,Medium
3176,22/09/2008,Shipped,2008,Motorcycles,Land of Toys Inc.,USA,NA,Medium
2756.8,24/09/2008,Shipped,2008,Motorcycles,"Tokyo Collectables, Ltd",Japan,Japan,Small
1329.9,01/10/2008,Shipped,2008,Motorcycles,Souveniers And Things Co.,Australia,APAC,Small
5288.01,30/04/2008,Shipped,2008,Motorcycles,"Australian Gift Network, Co",Australia,APAC,Medium
2225.5,30/08/2008,Shipped,2008,Motorcycles,FunGiftIdeas.com,USA,NA,Small
5833.8,01/01/2008,Shipped,2008,Motorcycles,Auto Canal Petit,France,EMEA,Medium
5887.35,29/09/2008,Disputed,2008,Motorcycles,Euro Shopping Channel,Spain,EMEA,Medium
6065.55,14/10/2008,Shipped,2008,Motorcycles,Land of Toys Inc.,USA,NA,Medium
9264.86,24/10/2008,Shipped,2008,Motorcycles,"Australian Collectors, Co.",Australia,APAC,Large
7023.98,10/10/2008,Shipped,2008,Motorcycles,Lyon Souveniers,France,EMEA,Large
5176.38,01/11/2008,Shipped,2008,Motorcycles,Toys4GrownUps.com,USA,NA,Medium
4132.7,31/10/2008,Shipped,2008,Motorcycles,Corporate Gift Ideas Co.,USA,NA,Medium
4183,08/11/2008,Shipped,2008,Motorcycles,Technics Stores Inc.,USA,NA,Medium
8892.9,17/09/2008,Shipped,2008,Motorcycles,Daedalus Designs Imports,France,EMEA,Large
8714.7,13/11/2008,Shipped,2008,Motorcycles,Herkku Gifts,Norway,EMEA,Large
8065.89,15/11/2008,Shipped,2008,Motorcycles,Mini Wheels Co.,USA,NA,Large
