County,County long name,"County, State","County long name, State",State number,County number,American National Standards Institute (ANSI) code,FIPS code,State,Census region,Census Division code,State FIPS code,County FIPS code,2020 resident total population estimates base,2020 resident total population estimate,2021 resident total population estimate,Numeric change in resident total population 4/1/2020 to 7/1/2020,Numeric change in resident total population 7/1/2020 to 7/1/2021,Births in 2020,Births in 2021,Deaths in 2020,Deaths in 2021,Natural change in 2020,Natural change in 2021,Net international migration in 2020,Net international migration in 2021,Net domestic migration in 2020,Net domestic migration in 2021,Net migration in 2020,Net migration in 2021,Residual for 2020,Residual for 2021,2020 Group Quarters total population estimates base,2020 Group Quarters total population estimate,2021 Group Quarters total population estimate,Birth rate in 2021,Death rate in 2021,Natural change rate in 2021,Net international migration rate in 2021,Net domestic migration rate in 2021,Net migration rate in 2021
Aleutians East,Aleutians East Borough,"Aleutians East, Alaska","Aleutians East Borough, Alaska",2,13,1419964,2013,Alaska,West,Pacific,2,13,3420,3418,3398,-2,-20,2,14,4,14,-2,0,0,17,0,-38,0,-21,0,1,1735,1735,1735,4.10798122,4.10798122,0,4.98826291,-11.150235,-6.1619718
Bristol Bay,Bristol Bay Borough,"Bristol Bay, Alaska","Bristol Bay Borough, Alaska",2,60,1419967,2060,Alaska,West,Pacific,2,60,844,831,838,-13,7,2,8,1,11,1,-3,0,0,-14,10,-14,10,0,0,15,15,15,9.58657879,13.1815458,-3.594967,0,11.9832235,11.9832235
Hoonah-Angoon,Hoonah-Angoon Census Area,"Hoonah-Angoon, Alaska","Hoonah-Angoon Census Area, Alaska",2,105,2371430,2105,Alaska,West,Pacific,2,105,2365,2361,2332,-4,-29,8,17,11,24,-3,-7,0,1,-2,-21,-2,-20,1,-2,0,0,0,7.24483273,10.2279992,-2.9831664,0.42616663,-8.9494993,-8.5233326
Ketchikan Gateway,Ketchikan Gateway Borough,"Ketchikan Gateway, Alaska","Ketchikan Gateway Borough, Alaska",2,130,1419973,2130,Alaska,West,Pacific,2,130,13948,13902,13754,-46,-148,35,113,26,106,9,7,0,8,-54,-163,-54,-155,-1,0,249,249,249,8.17182528,7.66560602,0.50621927,0.5785363,-11.787677,-11.209141
Kusilvak,Kusilvak Census Area,"Kusilvak, Alaska","Kusilvak Census Area, Alaska",2,158,1419985,2158,Alaska,West,Pacific,2,158,8368,8357,8360,-11,3,58,243,23,84,35,159,1,0,-48,-156,-47,-156,1,0,9,9,9,29.072202,10.0496501,19.0225519,0,-18.663636,-18.663636
Lake and Peninsula,Lake and Peninsula Borough,"Lake and Peninsula, Alaska","Lake and Peninsula Borough, Alaska",2,164,1419975,2164,Alaska,West,Pacific,2,164,1476,1454,1416,-22,-38,7,21,5,17,2,4,0,1,-23,-43,-23,-42,-1,0,37,37,37,14.6341463,11.8466899,2.78745645,0.69686411,-29.965157,-29.268293
Skagway,Skagway Municipality,"Skagway, Alaska","Skagway Municipality, Alaska",2,230,2339479,2230,Alaska,West,Pacific,2,230,1240,1239,1132,-1,-107,0,6,0,19,0,-13,0,1,-2,-93,-2,-92,1,-2,32,32,32,5.06115563,16.0269928,-10.965837,0.84352594,-78.447912,-77.604386
Wrangell,Wrangell City and Borough,"Wrangell, Alaska","Wrangell City and Borough, Alaska",2,275,2516402,2275,Alaska,West,Pacific,2,275,2127,2130,2055,3,-75,7,19,5,67,2,-48,0,0,1,-27,1,-27,0,0,7,7,7,9.08004779,32.0191159,-22.939068,0,-12.903226,-12.903226
Yakutat,Yakutat City and Borough,"Yakutat, Alaska","Yakutat City and Borough, Alaska",2,282,1419986,2282,Alaska,West,Pacific,2,282,662,683,704,21,21,2,4,1,1,1,3,0,0,19,20,19,20,1,-2,19,19,19,5.76784427,1.44196107,4.3258832,0,28.8392213,28.8392213
Hinsdale,Hinsdale County,"Hinsdale, Colorado","Hinsdale County, Colorado",8,53,198142,8053,Colorado,West,Mountain,8,53,788,794,781,6,-13,1,4,0,5,1,-1,0,0,5,-11,5,-11,0,-1,55,55,55,5.07936508,6.34920635,-1.2698413,0,-13.968254,-13.968254
District of Columbia,District of Columbia,"District of Columbia, District of Columbia","District of Columbia, District of Columbia",11,1,1702382,11001,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candler,Candler County,"Candler, Georgia","Candler County, Georgia",13,43,342852,13043,Georgia,South,South Atlantic,13,43,10981,11001,11037,20,36,30,140,48,170,-18,-30,0,1,38,63,38,64,0,2,235,235,235,12.7053272,15.4278973,-2.7225701,0.09075234,5.71739722,5.80814956
Kalawao,Kalawao County,"Kalawao, Hawaii","Kalawao County, Hawaii",15,5,1702380,15005,Hawaii,West,Pacific,15,5,82,82,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0
Clark,Clark County,"Clark, Idaho","Clark County, Idaho",16,33,399755,16033,Idaho,West,Mountain,16,33,790,792,792,2,0,4,7,2,2,2,5,0,0,0,-5,0,-5,0,0,1,1,1,8.83838384,2.52525253,6.31313131,0,-6.3131313,-6.3131313
Baltimore,Baltimore city,"Baltimore, Maryland","Baltimore city, Maryland",24,510,1702381,24510,Maryland,South,South Atlantic,24,510,585708,583132,576498,-2576,-6634,1837,7305,2024,7826,-187,-521,28,570,-2429,-6678,-2401,-6108,12,-5,26167,26167,26167,12.5988462,13.4974087,-0.8985625,0.98307219,-11.517467,-10.534395
St. Louis,St. Louis city,"St. Louis, Missouri","St. Louis city, Missouri",29,510,767557,29510,Missouri,Midwest,West North Central,29,510,301578,300528,293310,-1050,-7218,956,3783,906,3718,50,65,12,397,-1115,-7577,-1103,-7180,3,-103,11576,11576,11576,12.7408485,12.5219336,0.21891492,1.33706499,-25.518744,-24.181679
Petroleum,Petroleum County,"Petroleum, Montana","Petroleum County, Montana",30,69,1719590,30069,Montana,West,Mountain,30,69,496,498,519,2,21,1,3,0,3,1,0,0,0,2,21,2,21,-1,0,0,0,0,5.89970502,5.89970502,0,0,41.2979351,41.2979351
Garfield,Garfield County,"Garfield, Nebraska","Garfield County, Nebraska",31,71,835857,31071,Nebraska,Midwest,West North Central,31,71,1813,1806,1839,-7,33,6,30,8,26,-2,4,0,0,-5,29,-5,29,0,0,42,42,42,16.4609054,14.266118,2.19478738,0,15.9122085,15.9122085
Grant,Grant County,"Grant, Nebraska","Grant County, Nebraska",31,75,835859,31075,Nebraska,Midwest,West North Central,31,75,611,611,579,0,-32,3,6,4,5,-1,1,0,0,1,-31,1,-31,0,-2,3,3,3,10.0840336,8.40336135,1.68067227,0,-52.10084,-52.10084
Hooker,Hooker County,"Hooker, Nebraska","Hooker County, Nebraska",31,91,835867,31091,Nebraska,Midwest,West North Central,31,91,711,707,734,-4,27,2,5,2,8,0,-3,0,0,-4,32,-4,32,0,-2,23,23,23,6.93962526,11.1034004,-4.1637752,0,44.4136017,44.4136017
McPherson,McPherson County,"McPherson, Nebraska","McPherson County, Nebraska",31,117,835881,31117,Nebraska,Midwest,West North Central,31,117,399,396,379,-3,-17,0,3,0,7,0,-4,0,0,-3,-12,-3,-12,0,-1,0,0,0,7.74193548,18.0645161,-10.322581,0,-30.967742,-30.967742
Carson City,Carson City,"Carson City, Nevada","Carson City, Nevada",32,510,863219,32510,Nevada,West,Mountain,32,510,58639,58677,58993,38,316,168,515,244,853,-76,-338,0,14,117,640,117,654,-3,0,2735,2735,2735,8.75329311,14.4981729,-5.7448797,0.2379536,10.8778788,11.1158324
