Year,Coal Production,Natural Gas (Dry) Production,Crude Oil Production,Natural Gas Plant Liquids Production,Nuclear Electric Power Production,Hydroelectric Power Production,Geothermal Energy Production,Solar Energy Production,Wind Energy Production,Biomass Energy Production,Total Renewable Energy Production,Total Primary Energy Production,Total Fossil Fuels Production
1973,1.166486,1.908249,1.649833,0.208064,0.068103,0.272703,0.001491,Not Available,Not Available,0.129787,0.403981,5.404715,4.932632
1974,1.251148,1.895424,1.60631,0.20816,0.084855,0.304506,0.002154,Not Available,Not Available,0.130807,0.437467,5.483364,4.961042
1975,1.275523,1.737742,1.520203,0.19817,0.153503,0.263371,0.002117,Not Available,Not Available,0.127269,0.392756,5.277898,4.731639
1976,1.213441,1.70952,1.480073,0.191487,0.177844,0.273323,0.003403,Not Available,Not Available,0.145049,0.421775,5.19414,4.59452
1977,1.018424,1.699965,1.412172,0.185924,0.238556,0.219069,0.003232,Not Available,Not Available,0.15622,0.378521,4.933563,4.316486
1978,0.526477,1.700711,1.50307,0.185722,0.282638,0.262529,0.003326,Not Available,Not Available,0.173128,0.438983,4.637601,3.91598
1979,1.297706,1.737742,1.523753,0.183225,0.302351,0.262096,0.003099,Not Available,Not Available,0.1826,0.447796,5.492573,4.742426
1980,1.55995,1.796526,1.559852,0.197443,0.215389,0.265618,0.003495,Not Available,Not Available,0.209829,0.478943,5.808102,5.11377
1981,1.4707,1.729468,1.535469,0.19765,0.26228,0.236553,0.005284,Not Available,Not Available,0.220544,0.462381,5.657948,4.933286
1982,1.493082,1.709564,1.529999,0.185748,0.284331,0.284215,0.003975,Not Available,Not Available,0.226251,0.51444,5.717164,4.918393
1983,1.383344,1.571403,1.563703,0.183864,0.273422,0.310615,0.005087,Not Available,0.000002,0.246575,0.562279,5.538015,4.702314
1984,1.494935,1.70249,1.594432,0.182445,0.317844,0.313504,0.005094,-0.000001,0,0.251483,0.570081,5.862227,4.974302
1985,1.492863,1.615285,1.571371,0.189303,0.384371,0.290793,0.008086,0.000005,0.000007,0.256315,0.555205,5.808399,4.868823
1986,1.711531,1.590844,1.642838,0.197965,0.383159,0.226352,0.010526,0.000007,0.000002,0.249178,0.486064,6.012402,5.143178
